CompanyCode,Term,Miles,FromMiles,ToMiles,Coverage,State,Class,PlanDeduct,Deduct0,Deduct50,Deduct100,Deduct200,Deduct250,Deduct500,Markup,New/Used,MaxYears,SurchargeCode,PlanCode,RateCardCode,ClassListCode,MinYear,IncScCode,IncScAmt
,12,15000,70001,80000,Elite Plus Used,,G,100,13610.4,10675.75,8871.56,5865.19,,,,,15,,,,,10,,
,12,15000,70001,80000,Elite Plus Used,,H,100,20294.83,15936.86,13254.08,8789.61,,,,,15,,,,,10,,
,12,15000,80001,90000,Elite Plus Used,,A,0,2073.98,1598.03,,,,,,,9,,,,,0,,
,12,15000,80001,90000,Elite Plus Used,,B,100,2947.21,2284.52,1878.12,,,,,,9,,,,,0,,
,12,15000,80001,90000,Elite Plus Used,,C,100,3796.63,2954.54,2436.46,1572.42,,,,,9,,,,,0,,
,12,15000,80001,90000,Elite Plus Used,,D,100,4657.0,3631.86,3000.31,1949.51,,,,,9,,,,,0,,
,12,15000,80001,90000,Elite Plus Used,,E,100,6886.71,5385.6,4462.98,2923.4,,,,,9,,,,,0,,
,12,15000,80001,90000,Elite Plus Used,,F,100,8814.37,6903.19,5726.1,3769.17,,,,,9,,,,,0,,
,12,15000,80001,90000,Elite Plus Used,,G,100,13817.46,10840.86,9006.57,5956.77,,,,,9,,,,,0,,
,12,15000,80001,90000,Elite Plus Used,,H,100,20603.59,16178.98,13456.84,8926.02,,,,,9,,,,,0,,
,12,15000,80001,90000,Elite Plus Used,,A,0,2338.64,1806.2,,,,,,,15,,,,,10,,
,12,15000,80001,90000,Elite Plus Used,,B,100,3315.53,2574.19,2119.52,,,,,,15,,,,,10,,
,12,15000,80001,90000,Elite Plus Used,,C,100,4265.77,3323.74,2744.18,1777.56,,,,,15,,,,,10,,
,12,15000,80001,90000,Elite Plus Used,,D,100,5228.32,4081.46,3374.92,2199.4,,,,,15,,,,,10,,
,12,15000,80001,90000,Elite Plus Used,,E,100,7722.65,6043.35,5011.19,3288.92,,,,,15,,,,,10,,
,12,15000,80001,90000,Elite Plus Used,,F,100,9879.14,7741.05,6424.26,4235.03,,,,,15,,,,,10,,
,12,15000,80001,90000,Elite Plus Used,,G,100,15476.09,12146.18,10094.16,6682.28,,,,,15,,,,,10,,
,12,15000,80001,90000,Elite Plus Used,,H,100,23067.73,18117.88,15072.64,10004.02,,,,,15,,,,,10,,
,12,15000,90001,100000,Elite Plus Used,,A,0,2189.32,1689.58,,,,,,,9,,,,,0,,
,12,15000,90001,100000,Elite Plus Used,,B,100,3110.12,2414.51,1984.29,,,,,,9,,,,,0,,
,12,15000,90001,100000,Elite Plus Used,,C,100,4003.48,3117.46,2571.92,1663.93,,,,,9,,,,,0,,
,12,15000,90001,100000,Elite Plus Used,,D,100,4911.48,3829.56,3165.03,2061.2,,,,,9,,,,,0,,
,12,15000,90001,100000,Elite Plus Used,,E,100,7256.49,5678.5,4704.61,3084.51,,,,,9,,,,,0,,
,12,15000,90001,100000,Elite Plus Used,,F,100,9286.64,7272.98,6037.31,3974.19,,,,,9,,,,,0,,
,12,15000,90001,100000,Elite Plus Used,,G,100,14551.52,11417.49,9488.03,6277.11,,,,,9,,,,,0,,
,12,15000,90001,100000,Elite Plus Used,,H,100,21692.82,17035.71,14170.76,9400.16,,,,,9,,,,,0,,
,12,15000,90001,100000,Elite Plus Used,,A,0,2467.68,1908.6,,,,,,,15,,,,,10,,
,12,15000,90001,100000,Elite Plus Used,,B,100,3497.77,2719.58,2238.29,,,,,,15,,,,,10,,
,12,15000,90001,100000,Elite Plus Used,,C,100,4497.17,3505.97,2895.72,1879.95,,,,,15,,,,,10,,
,12,15000,90001,100000,Elite Plus Used,,D,100,5512.93,4302.62,3559.22,2324.33,,,,,15,,,,,10,,
,12,15000,90001,100000,Elite Plus Used,,E,100,8136.31,6371.01,5281.54,3469.11,,,,,15,,,,,10,,
,12,15000,90001,100000,Elite Plus Used,,F,100,10407.47,8154.78,6772.4,4464.39,,,,,15,,,,,10,,
,12,15000,90001,100000,Elite Plus Used,,G,100,16297.29,12791.26,10632.75,7040.69,,,,,15,,,,,10,,
,12,15000,90001,100000,Elite Plus Used,,H,100,24286.24,19076.31,15871.31,10534.45,,,,,15,,,,,10,,
,12,15000,100001,110000,Elite Plus Used,,A,0,2503.56,1936.84,,,,,,,15,,,,,0,,
,12,15000,100001,110000,Elite Plus Used,,B,100,3547.74,2758.9,2271.08,,,,,,15,,,,,0,,
,12,15000,100001,110000,Elite Plus Used,,C,100,4560.81,3556.07,2937.45,1907.79,,,,,15,,,,,0,,
,12,15000,100001,110000,Elite Plus Used,,D,100,5590.47,4363.6,3610.04,2358.24,,,,,15,,,,,0,,
,12,15000,100001,110000,Elite Plus Used,,E,100,8249.74,6460.29,5355.9,3518.71,,,,,15,,,,,0,,
,12,15000,100001,110000,Elite Plus Used,,F,100,10551.96,8268.41,6867.17,4527.6,,,,,15,,,,,0,,
,12,15000,100001,110000,Elite Plus Used,,G,100,16522.33,12968.35,10780.29,7139.12,,,,,15,,,,,0,,
,12,15000,100001,110000,Elite Plus Used,,H,100,24620.51,19339.33,16090.55,10680.67,,,,,15,,,,,0,,
,12,15000,110001,120000,Elite Plus Used,,A,0,2817.83,2184.09,,,,,,,15,,,,,0,,
,12,15000,110001,120000,Elite Plus Used,,B,100,3985.4,3103.31,2557.85,,,,,,15,,,,,0,,
,12,15000,110001,120000,Elite Plus Used,,C,100,5118.14,3994.66,3302.94,2151.62,,,,,15,,,,,0,,
,12,15000,110001,120000,Elite Plus Used,,D,100,6269.46,4897.63,4055.0,2655.32,,,,,15,,,,,0,,
,12,15000,110001,120000,Elite Plus Used,,E,100,9242.98,7242.08,6007.2,3952.86,,,,,15,,,,,0,,
,12,15000,110001,120000,Elite Plus Used,,F,100,11817.22,9263.85,7697.03,5080.99,,,,,15,,,,,0,,
,12,15000,110001,120000,Elite Plus Used,,G,100,18493.07,14519.12,12072.57,8001.12,,,,,15,,,,,0,,
,12,15000,110001,120000,Elite Plus Used,,H,100,27548.22,21643.0,18010.28,11961.14,,,,,15,,,,,0,,
,12,15000,120001,130000,Elite Plus Used,,A,0,3132.03,2431.38,,,,,,,15,,,,,0,,
,12,15000,120001,130000,Elite Plus Used,,B,100,4423.02,3447.73,2844.58,,,,,,15,,,,,0,,
,12,15000,120001,130000,Elite Plus Used,,C,100,5675.46,4433.26,3668.46,2395.45,,,,,15,,,,,0,,
,12,15000,120001,130000,Elite Plus Used,,D,100,6948.48,5431.63,4500.02,2952.39,,,,,15,,,,,0,,
,12,15000,120001,130000,Elite Plus Used,,E,100,10236.2,8023.86,6658.46,4387.09,,,,,15,,,,,0,,
,12,15000,120001,130000,Elite Plus Used,,F,100,13082.49,10259.31,8526.91,5634.41,,,,,15,,,,,0,,
,12,15000,120001,130000,Elite Plus Used,,G,100,20463.88,16069.96,13364.8,8863.11,,,,,15,,,,,0,,
,12,15000,120001,130000,Elite Plus Used,,H,100,30475.91,23946.66,19930.04,13241.61,,,,,15,,,,,0,,
,12,15000,130001,140000,Elite Plus Used,,A,0,3446.27,2678.63,,,,,,,15,,,,,0,,
,12,15000,130001,140000,Elite Plus Used,,B,100,4860.62,3792.11,3131.34,,,,,,15,,,,,0,,
,12,15000,130001,140000,Elite Plus Used,,C,100,6232.82,4871.88,4033.94,2639.26,,,,,15,,,,,0,,
,12,15000,130001,140000,Elite Plus Used,,D,100,7627.47,5965.68,4944.97,3249.45,,,,,15,,,,,0,,
,12,15000,130001,140000,Elite Plus Used,,E,100,11229.43,8805.63,7309.75,4821.26,,,,,15,,,,,0,,
,12,15000,130001,140000,Elite Plus Used,,F,100,14347.76,11254.74,9356.74,6187.82,,,,,15,,,,,0,,
,12,15000,130001,140000,Elite Plus Used,,G,100,22434.63,17620.77,14657.06,9725.11,,,,,15,,,,,0,,
,12,15000,130001,140000,Elite Plus Used,,H,100,33403.6,26250.3,21849.77,14522.09,,,,,15,,,,,0,,
,12,15000,140001,150000,Elite Plus Used,,A,0,3760.51,2925.91,,,,,,,15,,,,,0,,
,12,15000,140001,150000,Elite Plus Used,,B,100,5298.23,4136.54,3418.11,,,,,,15,,,,,0,,
,12,15000,140001,150000,Elite Plus Used,,C,100,6790.12,5310.47,4399.47,2883.13,,,,,15,,,,,0,,
,12,15000,140001,150000,Elite Plus Used,,D,100,8306.46,6499.7,5389.97,3546.48,,,,,15,,,,,0,,
,12,15000,140001,150000,Elite Plus Used,,E,100,12222.68,9587.42,7961.02,5255.45,,,,,15,,,,,0,,
,12,15000,140001,150000,Elite Plus Used,,F,100,15613.07,12250.2,10186.63,6741.21,,,,,15,,,,,0,,
,12,15000,140001,150000,Elite Plus Used,,G,100,24405.41,19171.59,15949.34,10587.12,,,,,15,,,,,0,,
,12,15000,140001,150000,Elite Plus Used,,H,100,36331.31,28553.92,23769.53,15802.6,,,,,15,,,,,0,,
,12,20000,10000,60000,Elite Plus Used,,B,0,1883.6,,,,,,,,9,,,,,0,,
,12,20000,10000,60000,Elite Plus Used,,C,100,2441.98,1887.28,1546.77,,,,,,9,,,,,0,,
,12,20000,10000,60000,Elite Plus Used,,D,100,3007.61,2333.95,1918.4,,,,,,9,,,,,0,,
,12,20000,10000,60000,Elite Plus Used,,E,100,4472.11,3485.4,2879.47,1868.95,,,,,9,,,,,0,,
,12,20000,10000,60000,Elite Plus Used,,F,100,5738.91,4483.08,3710.58,2421.82,,,,,9,,,,,0,,
,12,20000,10000,60000,Elite Plus Used,,G,100,9026.71,7069.78,5865.23,3860.67,,,,,9,,,,,0,,
,12,20000,10000,60000,Elite Plus Used,,H,100,13486.13,10579.07,8788.71,5810.33,,,,,9,,,,,0,,
,12,20000,10000,60000,Elite Plus Used,,B,0,2125.66,,,,,,,,15,,,,,10,,
